11	 بسم الله الرحمن الرحيم
7	 السلام عليكم ورحمة الله وبركاته
6	 والسلام عليكم ورحمة الله وبركاته
4	 بسم الله الرحمن الرحيم 
4	 رحلة إلى المدينة المنورة
3	 الرحلة إلى المدينة المنورة
3	 رحلة إلى مكة المكرمة
3	 رحلتي إلى مكة المكرمة
2	
2	 اتخذوا أحد أحدث نماذج الاقتصاد الكلي الحديثة المتاحة في ذلك الوقت - الذي يحمل اسم «التوازن العشوائي الديناميكي العام» - وأخضعوه للاختبار في مقابل بعض من أبسط النماذج التي تحمل اسم «نماذج الانحدار التلقائي»
2	 أعوذ بالله من الشيطان الرجيم
2	 التخصص في اللغة العربية
2	 الحمد لله رب العالمين
2	 الرحلة إلى مكة للعمرة
2	 - السلام عليكم 
2	 السلام عليكم ورحمة الله
2	 إلى مكة المكرمة 
2	 أما «نماذج الانحدار التلقائي» البسيطة للغاية فقد فازت بقدر ما خسرت في الدراسات التي أجريت في الماضي، على الرغم من مواجهة بعض من أكثر المنافسين المتطورين صعوبة
2	" ""بسم الله الرحمن الرحيم"
2	 رحلة إلى المنطقة الشرقية
2	 رحلة إلى بيت الله الحرام
2	 رحلتي إلى المدينة المنورة
2	 طبيعة الأسعار : متوسط
2	 فإذا كان الاقتصاد خاضعاً للضوضاء العشوائية، كما يقولون، فإن هذه الضوضاء سوف تتخلل البيانات الاقتصادية كذلك، المستخدمة في التحقق من صحة نماذج الاقتصاد الكلي المعمول بها
2	 لذا؛ فإن مستقبل التنبؤ بالاقتصاد الكلي - والاقتصاد الكلي ذاته - قد يكمن في اتجاه مغاير عن الذي انتهجه معظم الباحثين وخبراء الاقتصاد
2	 لم يتمكن أي نموذج سائد للاقتصاد الكلي اليوم من توقع أن أكبر وأطول فترة من فترات الانكماش الاقتصادي منذ الكساد الكبير، كانت وشيكة الحدوث، حتى وقعت بالفعل وأصبحت حقيقة واقعة
2	 وآخر دعوانا أن الحمد لله رب العالمين
2	 وإذا كان التنبؤ مستحيلاً، فإن اختيار النموذج السليم لتقييم السياسات سوف يكون مستحيلاً أيضاً
2	 وأفضل الأبحاث التي لديّ في هذه الأدبيات ترجع إلى ريفيت غوركيناك، وبورسين كيساسيكو، وباربرا روسي
2	 وأفضل شيء يمكنهم فعله هو توقع آثار السياسات المعينة
2	 والأكثر من ذلك، فإن إضافة عدد قليل من التنبؤات لا يحسّن من التوقعات
2	 والحمد لله رب العالمين
2	 والسلام عليكم ورحمة الله تعالى وبركاته
2	 وبالتالي، فإن التنبؤ في واقع الأمر من الأشياء المهمة، ولكن نماذج الاقتصاد الكلي سيئة للغاية في ذلك المجال، بل إن هناك خطاً كاملاً من الأبحاث مخصصاً فقط لإظهار مدى سوء أكثر النماذج تقدماً في الاقتصاد الكلي في التنبؤ بأشياء مهمة مثل النتائج والتضخم
2	 وبدلاً من التركيز على الاستهلاك، والاستثمار، والأمور الأخرى التي يسهل قياسها، قد يحاول خبراء الاقتصاد التفكير في مزيد من التراكم الخفي وطويل الأجل للمشكلات في الأسواق المالية
2	 وبعض النماذج تعمل بشكل أفضل في بعض الآفاق الزمنية المختلفة، ولفترات زمنية مختلفة، ولمتغيرات جد مختلفة
2	 وجاءت نتائجهم غير مشجعة
2	 وخلصت أبحاث بعض خبراء الاقتصاد في مجلس الاحتياطي الفيدرالي إلى أن الخصائص المعينة لأسواق الديون يمكن أن تبعث بإشارات للتحذير من الركود قبل عامين من وقوعها في المستقبل
2	 وصلى الله على نبينا محمد وعلى آله وصحبه وسلم
2	 وعلى الرغم من أن حالات الركود يصعب أو يستحيل توقعها واكتشافها على المدى القريب، فربما لا تزال هناك طرق للوقوف على بعض إشارات التحذير التي تتطور عبر سنوات قليلة
2	 وفي الاقتصاد، كل الأمور تسير في أي وقت من الأوقات، كما يقولون، وهناك كثير من العشوائية والضوضاء التي لا تسمح بالتوقعات والتنبؤات الموثوقة
2	 وفي السنوات التي تلت ذلك، بذل خبراء الاقتصاد الكلي جُل جهودهم في تعزيز نماذج «التوازن العشوائي الديناميكي العام» بمزيد من العناصر التي تحسن من أفضليتها في ملاءمة البيانات السابقة
2	 وفي العادة يرد خبراء الاقتصاد الكلي بأن التنبؤ ليس من صميم عملهم
2	 وفي ورقة بحثية جديدة ومثيرة للاهتمام، فحص خبراء الاقتصاد آندريا كاريرو، وآنا غالفاو، وجورج كابيتانيوس مجموعة واسعة من نماذج التنبؤ الكلي لتفهم أفضل الطرق للتنبؤ بالاقتصاد
2	 ولقد اهتم المؤلفون المذكورون بأمرين اثنين فقط؛ النتائج والتضخم
2	 ولكن خبراء الاقتصاد الكلي يختبرون أيضاً نماذج التنبؤ التي لا تقدم كثيراً من الافتراضات حول العلاقات الاقتصادية
2	 ولكنني غير مستعد حالياً للمشاركة في هذا القدر من التشاؤم الآن
2	 ولكن، وكما اتضح لاحقاً، فإن «نماذج الانحدار التلقائي» البسيطة للغاية قد فازت في هذه المقارنات بقدر ما خسرت
2	 ولم يختبر خبراء الاقتصاد وزملاؤهم مجموعة واسعة من النماذج فحسب، بل نظروا أيضاً إلى كثير من الدول المتقدمة
2	 ومع تطاول أمد آفاق التنبؤ الاقتصادي، تبدأ النماذج البسيطة في العمل بشكل أفضل من غيرها
2	 ونماذج «التوازن العشوائي الديناميكي العام» كبيرة ومعقدة للغاية، وهي تستند إلى أطنان من الافتراضات حول المستهلكين، والشركات، والتكنولوجيا، والحكومة، في حين أن «نماذج الانحدار التلقائي» ليست إلا معادلة وحيدة، وتدور حول أبسط نموذج للتنبؤ الاقتصادي يمكن تصوره
2	 وهذا الدفاع ضعيف للغاية
2	 وهذا أمر يبعث على الإحباط، بسبب أنه يعني أن بيانات الاقتصاد الكلي لا تشتمل على كثير من المعلومات المفيدة
